entidad,distrito_cod,porc_0a9,porc_10a19,porc_20a29,porc_30a39,porc_40a49,porc_50a59,porc_60ymas,porc_edadne,pob_total,porc_18ymas,hombres_18+,mujeres_18+
14,1,20.35092121,19.97619245,15.32090821,13.32662523,11.48687782,8.186649087,11.30912187,0.042704132,237042,63.26670599,114374,122668
14,2,20.50714363,19.91757672,16.92689978,14.08078145,10.81259622,8.003515842,9.719423645,0.03206271,229358,63.39516461,109527,119831
14,3,19.20553403,19.80028605,16.2350781,13.52045994,11.72676337,8.29513861,11.19691484,0.019825067,273475,64.54357503,128829,144646
14,4,17.54081769,18.91664869,18.47250907,14.37198812,12.7166754,9.04616586,8.899232453,0.035962722,264049,67.82800571,127712,136337
14,5,17.90847617,18.76859731,16.9379579,15.34438751,12.45426114,8.87842482,9.701656499,0.006238659,247799,67.21449322,122536,125263
14,6,18.4048936,18.60707567,17.99490679,16.18627926,13.0973215,7.884163498,7.809897316,0.01546236,284624,66.68119191,137379,147245
14,7,19.6212406,20.27593415,18.34789638,13.67570657,13.00891289,8.297848239,6.72277345,0.049687714,248442,63.96121784,120678,127764
14,8,11.34571327,13.96712914,18.54542867,14.12764141,13.27129136,11.32949128,17.32963358,0.083671291,274509,78.12422625,126482,148027
14,9,16.59905415,18.83218064,17.19909243,13.92908887,12.8159427,9.209425658,11.39361964,0.02159591,249890,68.3114185,120754,129136
14,10,15.45068681,16.06062632,19.95114914,14.61125408,12.27510221,10.6221383,10.96832771,0.06071544,258216,71.91604559,122499,135717
14,11,14.80355225,17.76737871,16.81449167,14.30471241,13.0246443,10.40663933,12.85270731,0.025874013,255311,71.03139937,121401,133910
14,12,22.93034582,19.78048998,15.58699624,18.33524272,12.50689839,6.03288279,4.787074189,0.040069867,333352,60.71531999,161335,172017
14,13,17.38786505,17.90215837,18.28841284,15.68891549,13.066851,9.105485954,8.492847403,0.067463881,288256,68.47488871,140216,148040
14,14,14.21656124,16.56776476,17.39003361,14.0970439,13.11011252,10.47525104,14.09600008,0.047232834,279454,72.92488675,132157,147297
14,15,19.75625943,19.7125124,16.07827736,13.71792609,11.81766436,8.233141857,10.64792835,0.036290152,258119,64.15875202,123660,134459
14,16,18.75240353,19.31793904,17.03694581,14.97940194,11.93531279,8.572764312,9.386381402,0.018851184,261864,65.81928501,127322,134542
14,17,19.79487571,18.26099993,15.74383275,13.69758719,11.52053007,8.414857842,12.52792606,0.039390448,222340,65.35874703,107439,114901
14,18,18.93486925,18.11322815,15.47496861,13.10176339,11.30670961,9.330676421,13.69165256,0.046132009,242992,66.32963913,118481,124511
14,19,18.35168636,17.94011738,16.6676051,13.6327196,11.44215378,9.247834236,12.68731751,0.030566035,250985,67.29487912,119430,131555
14,20,21.77591427,20.30851696,16.42631516,15.87810148,11.73014701,7.048880881,6.790127638,0.0419966,272512,61.5299858,133526,138986
