clave_entidad,nombre_entidad,clave_distrito,cabecera_distrital,clave_municipio,nombre_municipio,seccion,padron_hombres,padron_mujeres,padron_nobinario,padron_electoral,lista_hombres,lista_mujeres,lista_nobinario,lista_nominal
14,RESIDENTES EXTRANJERO,0,0,0,0,0,78259,66791,1,145051,39712,34576,1,74289
14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,1152,1247,0,2399,1141,1236,0,2377
14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,25,461,504,0,965,452,503,0,955
14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,26,414,442,0,856,409,436,0,845
14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,27,919,956,0,1875,909,948,0,1857
14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,28,744,808,0,1552,735,797,0,1532
14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,29,976,1077,0,2053,971,1072,0,2043
14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,30,415,466,0,881,409,464,0,873
14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,31,1489,1542,0,3031,1478,1531,0,3009
14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,32,149,142,0,291,148,140,0,288
14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,33,716,756,0,1472,711,749,0,1460
14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,34,1056,1102,0,2158,1050,1093,0,2143
14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,35,756,726,0,1482,748,720,0,1468
14,JALISCO,1,TEQUILA,5,AMATITAN,40,1541,1615,0,3156,1516,1593,0,3109
14,JALISCO,1,TEQUILA,5,AMATITAN,41,822,853,0,1675,812,846,0,1658
14,JALISCO,1,TEQUILA,5,AMATITAN,42,1348,1408,0,2756,1322,1390,0,2712
14,JALISCO,1,TEQUILA,5,AMATITAN,43,1448,1439,0,2887,1429,1416,0,2845
14,JALISCO,1,TEQUILA,5,AMATITAN,44,267,275,0,542,265,274,0,539
14,JALISCO,1,TEQUILA,5,AMATITAN,45,202,179,0,381,201,175,0,376
14,JALISCO,1,TEQUILA,5,AMATITAN,46,265,263,0,528,262,261,0,523
14,JALISCO,1,TEQUILA,5,AMATITAN,47,594,575,0,1169,587,568,0,1155
14,JALISCO,1,TEQUILA,6,AMECA,48,1426,1461,0,2887,1413,1442,0,2855
14,JALISCO,1,TEQUILA,6,AMECA,50,1061,1159,0,2220,1053,1146,0,2199
14,JALISCO,1,TEQUILA,6,AMECA,51,572,681,0,1253,568,673,0,1241
14,JALISCO,1,TEQUILA,6,AMECA,52,1556,1669,1,3226,1548,1659,1,3208
14,JALISCO,1,TEQUILA,6,AMECA,53,447,503,0,950,442,495,0,937
14,JALISCO,1,TEQUILA,6,AMECA,54,475,513,0,988,472,510,0,982
14,JALISCO,1,TEQUILA,6,AMECA,55,483,517,0,1000,482,515,0,997
14,JALISCO,1,TEQUILA,6,AMECA,56,1231,1381,0,2612,1216,1375,0,2591
14,JALISCO,1,TEQUILA,6,AMECA,57,620,692,0,1312,611,688,0,1299
14,JALISCO,1,TEQUILA,6,AMECA,58,368,403,1,772,362,399,1,762
14,JALISCO,1,TEQUILA,6,AMECA,59,380,445,0,825,379,441,0,820
14,JALISCO,1,TEQUILA,6,AMECA,60,329,306,0,635,326,303,0,629
14,JALISCO,1,TEQUILA,6,AMECA,61,510,532,0,1042,505,526,0,1031
14,JALISCO,1,TEQUILA,6,AMECA,62,819,866,0,1685,812,862,0,1674
14,JALISCO,1,TEQUILA,6,AMECA,63,921,988,0,1909,915,978,0,1893
