distrito_real,hombres_18+,mujeres_18+,total_adultos
AUTLÁN DE NAVARRO,124310,129607,253917
GUADALAJARA,372747,415298,788045
JOCOTEPEC,122266,128985,251251
LA BARCA,134668,144960,279628
LAGOS DE MORENO,117406,128471,245877
PUERTO VALLARTA,134182,134678,268860
SAN PEDRO TLAQUEPAQUE,283211,300379,583590
TEPATITLÁN DE MORELOS,138124,151230,289354
TEQUILA,124589,132067,256656
TLAJOMULCO DE ZUÑIGA,351488,376471,727959
TONALÁ,304511,306373,610884
ZAPOPAN,449120,485763,934883
ZAPOTLÁN,132981,142070,275051
