distrito_real,hombres_18+,mujeres_18+,total_adultos
AUTLÁN DE NAVARRO,170830,179088,349920
GUADALAJARA,532650,579443,1112116
JOCOTEPEC,150807,161169,311976
LA BARCA,163388,176344,339732
LAGOS DE MORENO,148846,162316,311165
PUERTO VALLARTA,165828,164418,330249
SAN PEDRO TLAQUEPAQUE,309346,327870,637221
TEPATITLÁN DE MORELOS,173177,182801,355978
TEQUILA,162494,171336,333832
TLAJOMULCO DE ZUÑIGA,281747,295547,577296
TONALÁ,263930,276429,540366
ZAPOPAN,492055,530392,1022456
ZAPOTLÁN,169894,181616,351511
