clave_municipio,nombre_municipio,hombres_18+,mujeres_18+,total_adultos
0,0,78259,66791,145051
1,ACATIC,8952,9509,18461
2,ACATLAN DE JUAREZ,9200,9541,18741
3,AHUALULCO DE MERCADO,9247,9768,19015
4,AMACUECA,2333,2560,4893
5,AMATITAN,6487,6607,13094
6,AMECA,26158,27579,53739
7,SAN JUANITO DE ESCOBEDO,3864,3932,7796
8,ARANDAS,30905,33182,64087
9,EL ARENAL,8084,8677,16761
10,ATEMAJAC DE BRIZUELA,2669,2912,5581
11,ATENGO,2538,2458,4996
12,ATENGUILLO,1994,2066,4060
13,ATOTONILCO EL ALTO,25423,26902,52325
14,ATOYAC,3730,3900,7630
15,AUTLAN DE NAVARRO,26363,28468,54831
16,AYOTLAN,15402,16708,32110
17,AYUTLA,5448,5696,11144
18,LA BARCA,28479,31036,59515
19,BOLAÐOS,3167,3555,6722
20,CABO CORRIENTES,4875,4541,9416
21,CASIMIRO CASTILLO,7917,8401,16318
22,CIHUATLAN,13909,14543,28452
23,ZAPOTLAN EL GRANDE,44799,49156,93956
24,SAN GABRIEL,6763,6773,13536
25,COCULA,12618,13273,25893
26,COLOTLAN,7946,8441,16387
27,CONCEPCION DE BUENOS AIRES,2890,2937,5827
28,CUAUTITLAN DE GARCIA BARRAGAN,6989,6975,13964
29,CUAUTLA,1253,1287,2540
30,CUQUIO,7287,7857,15144
31,CHAPALA,20444,22401,42845
32,CHIMALTITAN,1313,1320,2633
33,CHIQUILISTLAN,2486,2648,5134
34,DEGOLLADO,9227,9938,19165
35,EJUTLA,1160,1099,2259
36,ENCARNACION DE DIAZ,18271,20243,38514
37,ETZATLAN,7769,8280,16049
38,GOMEZ FARIAS,6630,7099,13729
39,EL GRULLO,10252,11353,21605
40,GUACHINANGO,2063,1942,4005
41,GUADALAJARA,592267,643654,1235945
42,HOSTOTIPAQUILLO,3437,3428,6865
43,HUEJUCAR,2945,3095,6040
44,HUEJUQUILLA EL ALTO,3606,3977,7583
45,LA HUERTA,9630,9653,19283
46,IXTLAHUACAN DE LOS MEMBRILLOS,21354,22622,43976
47,IXTLAHUACAN DEL RIO,8145,8770,16915
48,JALOSTOTITLAN,13785,14871,28656
49,JAMAY,10027,10546,20573
50,JESUS MARIA,8262,9082,17344
51,JILOTLAN DE LOS DOLORES,3067,2962,6029
52,JOCOTEPEC,18972,19903,38875
53,JUANACATLAN,9640,10006,19646
54,JUCHITLAN,2841,3052,5893
55,LAGOS DE MORENO,61324,66919,128246
56,EL LIMON,3187,3262,6449
57,MAGDALENA,8177,8602,16779
58,SANTA MARIA DEL ORO,1032,980,2012
59,LA MANZANILLA DE LA PAZ,1862,2035,3897
60,MASCOTA,6144,6376,12520
61,MAZAMITLA,5945,6534,12479
62,MEXTICACAN,2465,2792,5257
63,MEZQUITIC,7345,8579,15924
64,MIXTLAN,1834,1823,3657
65,OCOTLAN,39066,42261,81327
66,OJUELOS DE JALISCO,10580,11825,22405
67,PIHUAMO,4850,4853,9703
68,PONCITLAN,19821,21710,41531
69,PUERTO VALLARTA,123642,122559,246204
70,VILLA PURIFICACION,5088,5011,10099
71,QUITUPAN,4541,4704,9245
72,EL SALTO,71312,74929,146242
73,SAN CRISTOBAL DE LA BARRANCA,1530,1434,2964
74,SAN DIEGO DE ALEJANDRIA,2761,2972,5733
75,SAN JUAN DE LOS LAGOS,28558,30001,58559
76,SAN JULIAN,6462,7344,13806
77,SAN MARCOS,1638,1617,3255
78,SAN MARTIN DE BOLAÐOS,1101,1134,2235
79,SAN MARTIN HIDALGO,13304,13929,27233
80,SAN MIGUEL EL ALTO,12663,13770,26433
81,SAN SEBASTIAN DEL OESTE,2524,2266,4790
82,SANTA MARIA DE LOS ANGELES,1852,1892,3744
83,SAYULA,14221,15318,29539
84,TALA,31156,32883,64039
85,TALPA DE ALLENDE,5745,6006,11751
86,TAMAZULA DE GORDIANO,17856,18873,36729
87,TAPALPA,8052,8552,16604
88,TECALITLAN,6962,7445,14407
89,TECOLOTLAN,7686,7862,15548
90,TECHALUTA DE MONTENEGRO,1640,1758,3398
91,TENAMAXTLAN,3690,3785,7475
92,TEOCALTICHE,15268,17009,32277
93,TEOCUITATLAN DE CORONA,5288,5449,10737
94,TEPATITLAN DE MORELOS,65443,68710,134153
95,TEQUILA,16973,17572,34545
96,TEUCHITLAN,4126,4346,8472
97,TIZAPAN EL ALTO,9220,9754,18974
98,TLAJOMULCO DE ZUÐIGA,225584,236141,461727
99,SAN PEDRO TLAQUEPAQUE,250339,264301,514644
100,TOLIMAN,4203,4234,8437
101,TOMATLAN,13216,13094,26310
102,TONALA,192008,200858,392872
103,TONAYA,2828,3102,5930
104,TONILA,3153,3205,6358
105,TOTATICHE,2220,2177,4397
106,TOTOTLAN,9630,10113,19743
107,TUXCACUESCO,2458,2288,4746
108,TUXCUECA,3171,3402,6573
109,TUXPAN,13953,15318,29271
110,UNION DE SAN ANTONIO,7135,7827,14962
111,UNION DE TULA,6288,6835,13123
112,VALLE DE GUADALUPE,3538,3694,7232
113,VALLE DE JUAREZ,3150,3354,6504
114,VILLA CORONA,7844,8114,15958
115,VILLA GUERRERO,2353,2441,4794
116,VILLA HIDALGO,7710,8492,16202
