lista_nominal,frecuencia,frecuencia_%
1249,0.002048131080389145,0.2
875,0.002048131080389145,0.2
1347,0.002048131080389145,0.2
349,0.0017921146953405018,0.18
1399,0.0017921146953405018,0.18
937,0.0017921146953405018,0.18
1312,0.0017921146953405018,0.18
1177,0.0017921146953405018,0.18
1361,0.0015360983102918587,0.15
797,0.0015360983102918587,0.15
720,0.0015360983102918587,0.15
1113,0.0015360983102918587,0.15
910,0.0015360983102918587,0.15
1509,0.0015360983102918587,0.15
940,0.0015360983102918587,0.15
1115,0.0015360983102918587,0.15
1459,0.0015360983102918587,0.15
1389,0.0015360983102918587,0.15
1265,0.0015360983102918587,0.15
1187,0.0015360983102918587,0.15
1164,0.0015360983102918587,0.15
1523,0.0015360983102918587,0.15
1369,0.0015360983102918587,0.15
1052,0.0015360983102918587,0.15
902,0.0015360983102918587,0.15
1217,0.0015360983102918587,0.15
858,0.0012800819252432156,0.13
1030,0.0012800819252432156,0.13
1093,0.0012800819252432156,0.13
911,0.0012800819252432156,0.13
788,0.0012800819252432156,0.13
1207,0.0012800819252432156,0.13
1594,0.0012800819252432156,0.13
1196,0.0012800819252432156,0.13
1862,0.0012800819252432156,0.13
1976,0.0012800819252432156,0.13
1215,0.0012800819252432156,0.13
986,0.0012800819252432156,0.13
1000,0.0012800819252432156,0.13
842,0.0012800819252432156,0.13
959,0.0012800819252432156,0.13
1343,0.0012800819252432156,0.13
1079,0.0012800819252432156,0.13
2416,0.0012800819252432156,0.13
1210,0.0012800819252432156,0.13
1063,0.0012800819252432156,0.13
1034,0.0012800819252432156,0.13
1258,0.0012800819252432156,0.13
1031,0.0012800819252432156,0.13
685,0.0012800819252432156,0.13
997,0.0012800819252432156,0.13
1015,0.0012800819252432156,0.13
1122,0.0012800819252432156,0.13
1057,0.0012800819252432156,0.13
919,0.0012800819252432156,0.13
682,0.0012800819252432156,0.13
935,0.0012800819252432156,0.13
1325,0.0012800819252432156,0.13
1049,0.0012800819252432156,0.13
1005,0.0012800819252432156,0.13
843,0.0010240655401945725,0.1
976,0.0010240655401945725,0.1
1240,0.0010240655401945725,0.1
1498,0.0010240655401945725,0.1
740,0.0010240655401945725,0.1
1601,0.0010240655401945725,0.1
949,0.0010240655401945725,0.1
461,0.0010240655401945725,0.1
1170,0.0010240655401945725,0.1
1209,0.0010240655401945725,0.1
3741,0.0010240655401945725,0.1
1244,0.0010240655401945725,0.1
904,0.0010240655401945725,0.1
1220,0.0010240655401945725,0.1
2236,0.0010240655401945725,0.1
979,0.0010240655401945725,0.1
942,0.0010240655401945725,0.1
1367,0.0010240655401945725,0.1
936,0.0010240655401945725,0.1
1520,0.0010240655401945725,0.1
790,0.0010240655401945725,0.1
1396,0.0010240655401945725,0.1
1322,0.0010240655401945725,0.1
1140,0.0010240655401945725,0.1
1264,0.0010240655401945725,0.1
1453,0.0010240655401945725,0.1
897,0.0010240655401945725,0.1
1126,0.0010240655401945725,0.1
1782,0.0010240655401945725,0.1
1334,0.0010240655401945725,0.1
1025,0.0010240655401945725,0.1
1076,0.0010240655401945725,0.1
1223,0.0010240655401945725,0.1
950,0.0010240655401945725,0.1
1956,0.0010240655401945725,0.1
827,0.0010240655401945725,0.1
1733,0.0010240655401945725,0.1
1436,0.0010240655401945725,0.1
1427,0.0010240655401945725,0.1
1929,0.0010240655401945725,0.1
782,0.0010240655401945725,0.1
717,0.0010240655401945725,0.1
1564,0.0010240655401945725,0.1
840,0.0010240655401945725,0.1
1317,0.0010240655401945725,0.1
899,0.0010240655401945725,0.1
2062,0.0010240655401945725,0.1
1958,0.0010240655401945725,0.1
1553,0.0010240655401945725,0.1
1683,0.0010240655401945725,0.1
1214,0.0010240655401945725,0.1
